player,country,position,price,proj_points
Germany FWD4,Germany,FWD,10.6,46.6
Belgium GK1,Belgium,GK,10.1,36.4
Belgium GK2,Belgium,GK,8.4,42.7
Belgium GK3,Belgium,GK,8.9,36.4
Belgium DEF1,Belgium,DEF,9.6,40.4
Belgium DEF2,Belgium,DEF,8.9,45.2
Belgium DEF3,Belgium,DEF,8.7,42.8
Belgium DEF4,Belgium,DEF,8.7,40.6
Belgium DEF5,Belgium,DEF,10.1,32.9
Belgium DEF6,Belgium,DEF,7.8,40.7
Belgium MID1,Belgium,MID,9.6,42.3
Belgium MID2,Belgium,MID,8.7,36.1
Belgium MID3,Belgium,MID,10.3,39.6
Belgium MID4,Belgium,MID,9.9,37.9
Belgium MID5,Belgium,MID,12.0,47.2
Belgium MID6,Belgium,MID,10.0,45.1
Belgium FWD1,Belgium,FWD,10.2,44.3
Belgium FWD2,Belgium,FWD,11.0,39.6
Belgium FWD3,Belgium,FWD,9.5,36.5
Belgium FWD4,Belgium,FWD,10.0,38.7
Italy GK1,Italy,GK,9.2,30.8
Italy GK2,Italy,GK,9.8,36.5
Italy GK3,Italy,GK,9.6,38.1
Italy DEF1,Italy,DEF,11.4,49.4
Italy DEF2,Italy,DEF,10.5,34.3
Italy DEF3,Italy,DEF,9.9,41.4
Italy DEF4,Italy,DEF,8.0,33.8
Italy DEF5,Italy,DEF,9.7,39.5
Italy DEF6,Italy,DEF,9.7,41.8
Italy MID1,Italy,MID,9.4,40.5
Italy MID2,Italy,MID,9.3,43.9
Italy MID3,Italy,MID,10.6,37.8
Italy MID4,Italy,MID,10.7,44.5
Italy MID5,Italy,MID,9.6,45.5
Italy MID6,Italy,MID,11.0,45.9
Italy FWD1,Italy,FWD,10.4,39.3
Italy FWD2,Italy,FWD,9.5,45.6
Italy FWD3,Italy,FWD,10.3,42.7
Italy FWD4,Italy,FWD,11.1,39.4
Croatia GK1,Croatia,GK,8.6,37.3
Croatia GK2,Croatia,GK,8.3,31.7
Croatia GK3,Croatia,GK,10.6,44.5
Croatia DEF1,Croatia,DEF,11.3,35.5
Croatia DEF2,Croatia,DEF,8.8,39.7
Croatia DEF3,Croatia,DEF,10.4,44.6
Croatia DEF4,Croatia,DEF,10.1,46.1
Croatia DEF5,Croatia,DEF,9.8,32.6
Croatia DEF6,Croatia,DEF,10.3,45.1
Croatia MID1,Croatia,MID,9.9,45.8
Croatia MID2,Croatia,MID,7.8,34.9
Croatia MID3,Croatia,MID,8.8,41.3
Croatia MID4,Croatia,MID,9.9,41.6
Croatia MID5,Croatia,MID,10.9,41.4
Croatia MID6,Croatia,MID,8.8,40.7
Croatia FWD1,Croatia,FWD,9.9,38.0
Croatia FWD2,Croatia,FWD,10.8,45.0
Croatia FWD3,Croatia,FWD,9.5,33.2
Croatia FWD4,Croatia,FWD,10.1,48.8
Uruguay GK1,Uruguay,GK,8.0,37.6
Uruguay GK2,Uruguay,GK,8.1,33.3
Uruguay GK3,Uruguay,GK,9.0,30.7
Uruguay DEF1,Uruguay,DEF,10.6,47.8
Uruguay DEF2,Uruguay,DEF,10.7,42.0
Uruguay DEF3,Uruguay,DEF,9.8,36.5
Uruguay DEF4,Uruguay,DEF,7.9,37.4
Uruguay DEF5,Uruguay,DEF,10.2,38.0
Uruguay DEF6,Uruguay,DEF,9.7,40.1
Uruguay MID1,Uruguay,MID,9.7,43.8
Uruguay MID2,Uruguay,MID,8.4,41.4
Uruguay MID3,Uruguay,MID,10.0,38.4
Uruguay MID4,Uruguay,MID,10.4,44.1
Uruguay MID5,Uruguay,MID,10.3,44.1
Uruguay MID6,Uruguay,MID,9.3,36.7
Uruguay FWD1,Uruguay,FWD,8.6,38.2
Uruguay FWD2,Uruguay,FWD,10.4,38.2
Uruguay FWD3,Uruguay,FWD,10.5,40.9
Uruguay FWD4,Uruguay,FWD,11.6,45.2
Colombia GK1,Colombia,GK,8.7,34.6
Colombia GK2,Colombia,GK,8.8,36.7
Colombia GK3,Colombia,GK,8.8,36.9
Colombia DEF1,Colombia,DEF,9.0,36.3
Colombia DEF2,Colombia,DEF,10.2,40.0
Colombia DEF3,Colombia,DEF,9.5,39.2
Colombia DEF4,Colombia,DEF,9.5,43.2
Colombia DEF5,Colombia,DEF,10.2,35.3
Colombia DEF6,Colombia,DEF,8.6,38.8
Colombia MID1,Colombia,MID,9.4,34.5
Colombia MID2,Colombia,MID,7.9,37.0
Colombia MID3,Colombia,MID,8.2,36.6
Colombia MID4,Colombia,MID,9.6,40.9
Colombia MID5,Colombia,MID,9.4,36.3
Colombia MID6,Colombia,MID,9.9,40.1
Colombia FWD1,Colombia,FWD,9.8,36.2
Colombia FWD2,Colombia,FWD,10.3,40.9
Colombia FWD3,Colombia,FWD,10.4,36.6
Colombia FWD4,Colombia,FWD,9.0,47.2
Morocco GK1,Morocco,GK,8.5,38.3
Morocco GK2,Morocco,GK,9.3,45.4
Morocco GK3,Morocco,GK,9.2,47.6
Morocco DEF1,Morocco,DEF,10.3,44.4
Morocco DEF2,Morocco,DEF,9.0,43.3
Morocco DEF3,Morocco,DEF,8.8,43.2
Morocco DEF4,Morocco,DEF,9.0,41.4
Morocco DEF5,Morocco,DEF,9.8,39.4
Morocco DEF6,Morocco,DEF,9.4,36.6
Morocco MID1,Morocco,MID,9.0,33.1
Morocco MID2,Morocco,MID,8.9,41.9
Morocco MID3,Morocco,MID,9.5,38.5
Morocco MID4,Morocco,MID,10.7,40.7
Morocco MID5,Morocco,MID,10.3,48.2
Morocco MID6,Morocco,MID,8.8,38.1
Morocco FWD1,Morocco,FWD,11.2,43.1
Morocco FWD2,Morocco,FWD,10.9,45.1
Morocco FWD3,Morocco,FWD,9.8,42.7
Morocco FWD4,Morocco,FWD,8.8,43.1
Mexico GK1,Mexico,GK,8.2,34.1
Mexico GK2,Mexico,GK,10.4,44.1
Mexico GK3,Mexico,GK,11.1,49.3
Mexico DEF1,Mexico,DEF,7.9,25.2
Mexico DEF2,Mexico,DEF,9.0,38.4
Mexico DEF3,Mexico,DEF,8.3,40.0
Mexico DEF4,Mexico,DEF,9.7,39.7
Mexico DEF5,Mexico,DEF,9.2,36.3
Mexico DEF6,Mexico,DEF,10.4,33.0
Mexico MID1,Mexico,MID,9.5,39.2
Mexico MID2,Mexico,MID,9.8,35.2
Mexico MID3,Mexico,MID,9.3,34.7
Mexico MID4,Mexico,MID,9.8,31.5
Mexico MID5,Mexico,MID,9.4,42.1
Mexico MID6,Mexico,MID,9.0,37.3
Mexico FWD1,Mexico,FWD,9.0,41.0
Mexico FWD2,Mexico,FWD,10.1,35.5
Mexico FWD3,Mexico,FWD,8.9,43.4
Mexico FWD4,Mexico,FWD,8.7,41.1
USA GK1,USA,GK,7.7,40.2
USA GK2,USA,GK,9.7,35.5
USA GK3,USA,GK,8.5,39.7
USA DEF1,USA,DEF,8.9,34.0
USA DEF2,USA,DEF,8.3,35.1
USA DEF3,USA,DEF,10.9,40.6
USA DEF4,USA,DEF,9.1,32.6
USA DEF5,USA,DEF,10.6,38.2
USA DEF6,USA,DEF,8.1,32.4
USA MID1,USA,MID,9.4,37.9
USA MID2,USA,MID,9.1,39.6
USA MID3,USA,MID,10.5,43.0
USA MID4,USA,MID,7.7,42.3
USA MID5,USA,MID,10.1,36.4
USA MID6,USA,MID,10.1,42.9
USA FWD1,USA,FWD,8.8,37.8
USA FWD2,USA,FWD,11.0,39.7
USA FWD3,USA,FWD,10.3,48.3
USA FWD4,USA,FWD,10.0,39.1
Switzerland GK1,Switzerland,GK,9.4,44.5
Switzerland GK2,Switzerland,GK,9.1,33.4
Switzerland GK3,Switzerland,GK,8.9,43.5
Switzerland DEF1,Switzerland,DEF,7.8,40.2
Switzerland DEF2,Switzerland,DEF,8.3,40.5
Switzerland DEF3,Switzerland,DEF,10.5,38.8
Switzerland DEF4,Switzerland,DEF,9.8,43.9
Switzerland DEF5,Switzerland,DEF,8.2,26.8
Switzerland DEF6,Switzerland,DEF,7.8,30.9
Switzerland MID1,Switzerland,MID,10.3,36.5
Switzerland MID2,Switzerland,MID,9.1,43.4
Switzerland MID3,Switzerland,MID,10.0,53.1
Switzerland MID4,Switzerland,MID,8.3,41.2
Switzerland MID5,Switzerland,MID,8.8,31.8
Switzerland MID6,Switzerland,MID,8.9,31.1
Switzerland FWD1,Switzerland,FWD,9.8,41.2
Switzerland FWD2,Switzerland,FWD,10.1,49.2
Switzerland FWD3,Switzerland,FWD,9.5,41.0
Switzerland FWD4,Switzerland,FWD,8.7,41.0
Denmark GK1,Denmark,GK,8.1,37.9
Denmark GK2,Denmark,GK,9.2,40.5
Denmark GK3,Denmark,GK,7.9,44.8
Denmark DEF1,Denmark,DEF,8.3,37.4
Denmark DEF2,Denmark,DEF,8.0,37.2
Denmark DEF3,Denmark,DEF,9.0,40.9
Denmark DEF4,Denmark,DEF,8.1,38.8
Denmark DEF5,Denmark,DEF,8.2,32.9
Denmark DEF6,Denmark,DEF,8.4,42.5
Denmark MID1,Denmark,MID,8.2,30.9
Denmark MID2,Denmark,MID,10.4,42.8
Denmark MID3,Denmark,MID,10.1,40.5
Denmark MID4,Denmark,MID,9.7,40.5
Denmark MID5,Denmark,MID,9.8,35.7
Denmark MID6,Denmark,MID,10.9,31.6
Denmark FWD1,Denmark,FWD,9.9,46.6
Denmark FWD2,Denmark,FWD,8.2,30.6
Denmark FWD3,Denmark,FWD,9.8,42.3
Denmark FWD4,Denmark,FWD,10.4,38.8
Japan GK1,Japan,GK,8.6,42.2
Japan GK2,Japan,GK,9.2,43.4
Japan GK3,Japan,GK,8.8,42.3
Japan DEF1,Japan,DEF,9.4,43.7
Japan DEF2,Japan,DEF,9.7,41.5
Japan DEF3,Japan,DEF,9.3,45.7
Japan DEF4,Japan,DEF,9.0,34.7
Japan DEF5,Japan,DEF,9.1,38.0
Japan DEF6,Japan,DEF,8.0,30.4
Japan MID1,Japan,MID,9.3,36.9
Japan MID2,Japan,MID,9.1,32.0
Japan MID3,Japan,MID,9.3,40.2
Japan MID4,Japan,MID,8.6,41.5
Japan MID5,Japan,MID,9.9,44.4
Japan MID6,Japan,MID,10.3,47.6
Japan FWD1,Japan,FWD,9.8,38.5
Japan FWD2,Japan,FWD,10.4,41.3
Japan FWD3,Japan,FWD,8.9,31.1
Japan FWD4,Japan,FWD,7.6,32.3
Senegal GK1,Senegal,GK,9.0,35.5
Senegal GK2,Senegal,GK,8.1,41.2
Senegal GK3,Senegal,GK,8.9,42.1
Senegal DEF1,Senegal,DEF,10.3,41.9
Senegal DEF2,Senegal,DEF,8.8,38.6
Senegal DEF3,Senegal,DEF,8.6,38.3
Senegal DEF4,Senegal,DEF,9.4,38.2
Senegal DEF5,Senegal,DEF,10.0,33.7
Senegal DEF6,Senegal,DEF,8.8,36.6
Senegal MID1,Senegal,MID,8.3,35.7
Senegal MID2,Senegal,MID,9.6,41.9
Senegal MID3,Senegal,MID,8.7,37.6
Senegal MID4,Senegal,MID,6.5,32.5
Senegal MID5,Senegal,MID,9.2,38.1
Senegal MID6,Senegal,MID,9.9,42.4
Senegal FWD1,Senegal,FWD,9.9,38.7
Senegal FWD2,Senegal,FWD,11.3,38.5
Senegal FWD3,Senegal,FWD,10.2,31.8
Senegal FWD4,Senegal,FWD,8.6,41.1
Serbia GK1,Serbia,GK,7.8,32.5
Serbia GK2,Serbia,GK,9.1,45.1
Serbia GK3,Serbia,GK,7.1,35.1
Serbia DEF1,Serbia,DEF,9.3,42.7
Serbia DEF2,Serbia,DEF,7.7,38.3
Serbia DEF3,Serbia,DEF,7.1,35.4
Serbia DEF4,Serbia,DEF,8.2,35.7
Serbia DEF5,Serbia,DEF,9.0,47.3
Serbia DEF6,Serbia,DEF,9.7,42.5
Serbia MID1,Serbia,MID,9.2,40.2
Serbia MID2,Serbia,MID,9.2,37.1
Serbia MID3,Serbia,MID,9.3,36.7
Serbia MID4,Serbia,MID,8.6,35.3
Serbia MID5,Serbia,MID,9.3,28.0
Serbia MID6,Serbia,MID,8.1,34.4
Serbia FWD1,Serbia,FWD,9.9,35.9
Serbia FWD2,Serbia,FWD,9.6,35.7
Serbia FWD3,Serbia,FWD,8.7,40.8
Serbia FWD4,Serbia,FWD,10.2,42.5
Ecuador GK1,Ecuador,GK,7.6,33.0
Ecuador GK2,Ecuador,GK,7.8,33.9
Ecuador GK3,Ecuador,GK,7.8,34.0
Ecuador DEF1,Ecuador,DEF,9.4,42.1
Ecuador DEF2,Ecuador,DEF,8.3,40.0
Ecuador DEF3,Ecuador,DEF,9.4,41.8
Ecuador DEF4,Ecuador,DEF,7.9,31.4
Ecuador DEF5,Ecuador,DEF,8.2,30.4
Ecuador DEF6,Ecuador,DEF,10.3,45.1
Ecuador MID1,Ecuador,MID,8.3,49.3
Ecuador MID2,Ecuador,MID,8.9,42.5
Ecuador MID3,Ecuador,MID,10.6,41.8
Ecuador MID4,Ecuador,MID,8.4,43.9
Ecuador MID5,Ecuador,MID,9.8,38.2
Ecuador MID6,Ecuador,MID,9.2,36.9
Ecuador FWD1,Ecuador,FWD,9.8,42.8
Ecuador FWD2,Ecuador,FWD,8.7,35.7
Ecuador FWD3,Ecuador,FWD,9.4,44.8
Ecuador FWD4,Ecuador,FWD,9.9,41.3
South Korea GK1,South Korea,GK,9.4,44.6
South Korea GK2,South Korea,GK,6.2,35.2
South Korea GK3,South Korea,GK,8.9,38.4
South Korea DEF1,South Korea,DEF,8.5,41.3
South Korea DEF2,South Korea,DEF,9.1,35.1
South Korea DEF3,South Korea,DEF,10.1,37.0
South Korea DEF4,South Korea,DEF,9.6,42.6
South Korea DEF5,South Korea,DEF,8.9,35.6
South Korea DEF6,South Korea,DEF,8.4,40.2
South Korea MID1,South Korea,MID,8.2,34.6
South Korea MID2,South Korea,MID,9.7,34.4
South Korea MID3,South Korea,MID,7.8,41.1
South Korea MID4,South Korea,MID,11.0,45.9
South Korea MID5,South Korea,MID,8.2,43.0
South Korea MID6,South Korea,MID,9.2,27.9
South Korea FWD1,South Korea,FWD,8.1,36.9
South Korea FWD2,South Korea,FWD,8.6,37.0
South Korea FWD3,South Korea,FWD,10.0,37.8
South Korea FWD4,South Korea,FWD,8.9,41.1
Poland GK1,Poland,GK,9.3,32.9
Poland GK2,Poland,GK,7.3,33.9
Poland GK3,Poland,GK,9.1,38.8
Poland DEF1,Poland,DEF,7.4,37.2
Poland DEF2,Poland,DEF,8.6,37.5
Poland DEF3,Poland,DEF,8.8,35.0
Poland DEF4,Poland,DEF,7.8,34.8
Poland DEF5,Poland,DEF,9.3,39.1
Poland DEF6,Poland,DEF,9.5,46.9
Poland MID1,Poland,MID,10.7,37.2
Poland MID2,Poland,MID,10.8,38.6
Poland MID3,Poland,MID,9.2,36.5
Poland MID4,Poland,MID,8.5,36.3
Poland MID5,Poland,MID,9.5,32.6
Poland MID6,Poland,MID,8.0,32.4
Poland FWD1,Poland,FWD,8.8,38.0
Poland FWD2,Poland,FWD,10.9,46.2
Poland FWD3,Poland,FWD,8.9,35.3
Poland FWD4,Poland,FWD,10.1,42.0
Australia GK1,Australia,GK,8.6,32.3
Australia GK2,Australia,GK,8.6,36.6
Australia GK3,Australia,GK,8.9,39.6
Australia DEF1,Australia,DEF,7.2,26.8
Australia DEF2,Australia,DEF,9.8,37.6
Australia DEF3,Australia,DEF,7.5,30.0
Australia DEF4,Australia,DEF,9.0,30.3
Australia DEF5,Australia,DEF,8.6,38.2
Australia DEF6,Australia,DEF,9.4,39.8
Australia MID1,Australia,MID,9.2,37.5
Australia MID2,Australia,MID,9.7,34.1
Australia MID3,Australia,MID,9.3,37.5
Australia MID4,Australia,MID,8.6,38.4
Australia MID5,Australia,MID,9.1,42.8
Australia MID6,Australia,MID,8.7,38.4
Australia FWD1,Australia,FWD,8.7,37.6
Australia FWD2,Australia,FWD,9.7,49.4
Australia FWD3,Australia,FWD,9.7,39.1
Australia FWD4,Australia,FWD,10.7,40.8
Canada GK1,Canada,GK,9.2,35.4
Canada GK2,Canada,GK,9.0,36.2
Canada GK3,Canada,GK,6.8,31.6
Canada DEF1,Canada,DEF,8.6,34.5
Canada DEF2,Canada,DEF,7.9,35.8
Canada DEF3,Canada,DEF,9.9,29.5
Canada DEF4,Canada,DEF,7.7,32.0
Canada DEF5,Canada,DEF,7.0,37.8
Canada DEF6,Canada,DEF,8.8,38.8
Canada MID1,Canada,MID,10.4,42.2
Canada MID2,Canada,MID,9.7,35.9
Canada MID3,Canada,MID,9.9,39.4
Canada MID4,Canada,MID,8.9,43.0
Canada MID5,Canada,MID,8.5,42.8
Canada MID6,Canada,MID,8.8,34.2
Canada FWD1,Canada,FWD,9.3,36.6
Canada FWD2,Canada,FWD,8.8,36.6
Canada FWD3,Canada,FWD,10.0,45.1
Canada FWD4,Canada,FWD,10.2,36.1
Ukraine GK1,Ukraine,GK,7.3,32.9
Ukraine GK2,Ukraine,GK,7.8,42.0
Ukraine GK3,Ukraine,GK,9.3,36.5
Ukraine DEF1,Ukraine,DEF,7.4,33.6
Ukraine DEF2,Ukraine,DEF,9.1,44.3
Ukraine DEF3,Ukraine,DEF,8.0,38.8
Ukraine DEF4,Ukraine,DEF,8.1,39.0
Ukraine DEF5,Ukraine,DEF,9.0,44.6
Ukraine DEF6,Ukraine,DEF,8.3,26.9
Ukraine MID1,Ukraine,MID,8.2,27.5
Ukraine MID2,Ukraine,MID,10.5,36.2
Ukraine MID3,Ukraine,MID,8.8,29.7
Ukraine MID4,Ukraine,MID,8.1,34.4
Ukraine MID5,Ukraine,MID,8.9,49.4
Ukraine MID6,Ukraine,MID,7.6,38.8
Ukraine FWD1,Ukraine,FWD,9.5,39.7
Ukraine FWD2,Ukraine,FWD,10.1,40.7
Ukraine FWD3,Ukraine,FWD,8.8,34.5
Ukraine FWD4,Ukraine,FWD,8.4,35.5
Austria GK1,Austria,GK,8.1,32.9
Austria GK2,Austria,GK,9.3,38.5
Austria GK3,Austria,GK,7.4,34.4
Austria DEF1,Austria,DEF,8.1,36.3
Austria DEF2,Austria,DEF,8.5,35.2
Austria DEF3,Austria,DEF,8.5,32.7
Austria DEF4,Austria,DEF,9.0,40.9
Austria DEF5,Austria,DEF,9.2,36.6
Austria DEF6,Austria,DEF,8.4,36.0
Austria MID1,Austria,MID,8.7,42.3
Austria MID2,Austria,MID,8.7,35.7
Austria MID3,Austria,MID,7.5,35.0
Austria MID4,Austria,MID,9.1,47.2
Austria MID5,Austria,MID,8.1,33.3
Austria MID6,Austria,MID,7.9,34.4
Austria FWD1,Austria,FWD,9.7,40.8
Austria FWD2,Austria,FWD,8.8,44.8
Austria FWD3,Austria,FWD,9.2,40.6
Austria FWD4,Austria,FWD,8.8,29.4
Nigeria GK1,Nigeria,GK,8.4,42.9
Nigeria GK2,Nigeria,GK,8.6,31.2
Nigeria GK3,Nigeria,GK,7.8,32.8
Nigeria DEF1,Nigeria,DEF,9.4,31.9
Nigeria DEF2,Nigeria,DEF,7.2,32.5
Nigeria DEF3,Nigeria,DEF,8.1,36.7
Nigeria DEF4,Nigeria,DEF,7.6,38.8
Nigeria DEF5,Nigeria,DEF,7.5,39.0
Nigeria DEF6,Nigeria,DEF,8.2,35.2
Nigeria MID1,Nigeria,MID,8.7,37.7
Nigeria MID2,Nigeria,MID,8.5,47.8
Nigeria MID3,Nigeria,MID,8.4,36.7
Nigeria MID4,Nigeria,MID,8.4,40.6
Nigeria MID5,Nigeria,MID,9.1,49.9
Nigeria MID6,Nigeria,MID,8.7,44.3
Nigeria FWD1,Nigeria,FWD,9.3,49.6
Nigeria FWD2,Nigeria,FWD,9.4,37.0
Nigeria FWD3,Nigeria,FWD,8.9,39.2
Nigeria FWD4,Nigeria,FWD,11.8,45.9
Peru GK1,Peru,GK,9.3,39.5
Peru GK2,Peru,GK,7.8,35.1
Peru GK3,Peru,GK,7.9,30.5
Peru DEF1,Peru,DEF,8.1,41.1
Peru DEF2,Peru,DEF,7.7,37.1
Peru DEF3,Peru,DEF,8.7,39.9
Peru DEF4,Peru,DEF,6.6,35.8
Peru DEF5,Peru,DEF,9.7,34.1
Peru DEF6,Peru,DEF,7.5,35.8
Peru MID1,Peru,MID,9.3,38.3
Peru MID2,Peru,MID,8.1,26.4
Peru MID3,Peru,MID,6.8,28.4
Peru MID4,Peru,MID,10.6,35.6
Peru MID5,Peru,MID,9.3,39.8
Peru MID6,Peru,MID,9.0,39.3
Peru FWD1,Peru,FWD,8.1,37.7
Peru FWD2,Peru,FWD,8.6,36.9
Peru FWD3,Peru,FWD,8.1,35.8
Peru FWD4,Peru,FWD,8.3,35.0
Sweden GK1,Sweden,GK,8.7,33.9
Sweden GK2,Sweden,GK,8.9,37.0
Sweden GK3,Sweden,GK,7.6,30.1
Sweden DEF1,Sweden,DEF,8.4,41.0
