date,home_team,away_team,home_score,away_score,tournament,neutral
2019-10-01,Nigeria,Colombia,1,0,Friendly,False
2019-10-01,Iran,Colombia,0,0,FIFA World Cup qualification,False
2019-10-01,Saudi Arabia,Mexico,1,4,Friendly,False
2019-10-01,England,Japan,5,0,Friendly,False
2019-10-01,Peru,Ivory Coast,1,1,Friendly,False
2019-10-01,England,Switzerland,3,0,Friendly,False
2019-11-01,Italy,Egypt,6,0,FIFA World Cup qualification,False
2019-11-01,Belgium,Brazil,1,1,FIFA World Cup qualification,True
2019-11-01,Saudi Arabia,Sweden,1,2,FIFA World Cup qualification,True
2019-11-01,Costa Rica,Iran,3,0,FIFA World Cup qualification,False
2019-11-01,Sweden,Morocco,0,2,Friendly,False
2019-11-01,Germany,Cameroon,10,0,Friendly,False
2019-11-01,Uruguay,Portugal,0,1,Friendly,False
2019-11-01,Senegal,Iran,4,2,Friendly,False
2019-11-01,Austria,Netherlands,1,1,Friendly,False
2019-11-01,Canada,Egypt,1,2,FIFA World Cup qualification,False
2019-12-01,Ecuador,Tunisia,3,1,FIFA World Cup qualification,False
2019-12-01,Italy,Nigeria,7,0,Friendly,False
2019-12-01,Wales,Ghana,1,0,FIFA World Cup qualification,False
2019-12-01,Ivory Coast,Paraguay,3,0,Friendly,False
2019-12-01,New Zealand,France,0,1,FIFA World Cup qualification,False
2019-12-01,Chile,Ghana,3,2,FIFA World Cup qualification,False
2019-12-01,Japan,Saudi Arabia,6,0,FIFA World Cup qualification,False
2019-12-01,England,Ecuador,8,0,Friendly,False
2019-12-01,Colombia,Canada,4,0,Friendly,False
2019-12-01,England,Argentina,1,2,Friendly,False
2020-01-01,South Korea,Croatia,0,1,FIFA World Cup qualification,False
2020-01-01,Belgium,England,1,0,FIFA World Cup qualification,False
2020-01-01,Jamaica,Netherlands,1,2,Friendly,False
2020-01-01,Egypt,USA,2,0,FIFA World Cup qualification,False
2020-01-01,Germany,Wales,9,0,FIFA World Cup qualification,False
2020-01-01,Netherlands,Nigeria,6,1,Friendly,False
2020-01-01,Germany,Panama,6,1,FIFA World Cup qualification,False
2020-01-01,Colombia,Saudi Arabia,6,0,Friendly,False
2020-01-01,Portugal,Australia,3,0,Friendly,False
2020-01-01,Ghana,Ukraine,0,4,Friendly,False
2020-02-01,Ghana,Qatar,3,2,Friendly,False
2020-02-01,Costa Rica,Netherlands,0,5,Friendly,False
2020-02-01,France,England,2,1,Friendly,False
2020-02-01,Uruguay,Denmark,3,2,Friendly,False
2020-02-01,Serbia,Tunisia,6,2,FIFA World Cup qualification,False
2020-02-01,Belgium,South Korea,1,0,FIFA World Cup qualification,False
2020-02-01,Nigeria,Chile,5,3,FIFA World Cup qualification,False
2020-02-01,Poland,Morocco,2,9,FIFA World Cup qualification,False
2020-02-01,France,Algeria,9,0,FIFA World Cup qualification,False
2020-02-01,Spain,Tunisia,5,0,FIFA World Cup qualification,False
2020-03-01,Switzerland,Ivory Coast,4,2,FIFA World Cup qualification,False
2020-03-01,Japan,Ghana,0,0,Friendly,True
2020-03-01,Brazil,Serbia,4,0,FIFA World Cup qualification,False
2020-03-01,Germany,Ecuador,3,1,Friendly,False
2020-03-01,Sweden,France,1,2,Friendly,False
2020-03-01,Chile,Serbia,3,3,FIFA World Cup qualification,False
2020-03-01,Argentina,Poland,3,0,FIFA World Cup qualification,False
2020-03-01,Paraguay,Spain,0,6,FIFA World Cup qualification,False
2020-03-01,Brazil,Morocco,2,0,Friendly,False
2020-03-01,Morocco,Costa Rica,4,0,FIFA World Cup qualification,False
2020-04-01,Wales,Uruguay,0,4,FIFA World Cup qualification,False
2020-04-01,Egypt,Mexico,3,2,Friendly,False
2020-04-01,Nigeria,Netherlands,1,4,FIFA World Cup qualification,False
2020-04-01,France,Ivory Coast,5,0,Friendly,True
2020-04-01,Australia,Austria,1,0,FIFA World Cup qualification,False
2020-04-01,Switzerland,Argentina,0,2,Friendly,False
2020-04-01,Argentina,Serbia,11,0,FIFA World Cup qualification,False
2020-04-01,Croatia,Jamaica,4,0,FIFA World Cup qualification,False
2020-04-01,Qatar,England,0,6,FIFA World Cup qualification,False
2020-04-01,Poland,Croatia,1,1,FIFA World Cup qualification,False
2020-05-01,Portugal,Spain,1,2,FIFA World Cup qualification,False
2020-05-01,Germany,Portugal,2,0,Friendly,False
2020-05-01,Costa Rica,Brazil,0,7,FIFA World Cup qualification,False
2020-05-01,New Zealand,Uruguay,0,2,Friendly,False
2020-05-01,Croatia,Poland,5,1,FIFA World Cup qualification,False
2020-05-01,South Korea,Colombia,0,2,Friendly,True
2020-05-01,Sweden,Brazil,0,3,Friendly,False
2020-05-01,South Korea,Chile,5,0,Friendly,False
2020-05-01,Cameroon,Iran,3,3,Friendly,True
2020-05-01,Wales,Canada,1,1,FIFA World Cup qualification,False
2020-06-01,Ukraine,Sweden,4,2,Friendly,False
2020-06-01,Belgium,Nigeria,3,0,Friendly,False
2020-06-01,Sweden,Spain,2,2,FIFA World Cup qualification,False
2020-06-01,Japan,England,0,4,FIFA World Cup qualification,False
2020-06-01,Chile,Ivory Coast,1,0,Friendly,False
2020-06-01,Japan,Saudi Arabia,3,1,Friendly,True
2020-06-01,Honduras,Canada,2,1,Friendly,False
2020-06-01,New Zealand,Italy,0,4,Friendly,False
2020-06-01,Spain,Brazil,1,1,FIFA World Cup qualification,False
2020-06-01,Poland,Belgium,1,4,Friendly,True
2020-07-01,Croatia,France,2,1,Friendly,False
2020-07-01,Australia,Brazil,3,3,Friendly,False
2020-07-01,Jamaica,Canada,0,2,Friendly,False
2020-07-01,Denmark,Spain,1,3,Friendly,False
2020-07-01,Iran,Portugal,0,1,Friendly,False
2020-07-01,Honduras,Mexico,0,5,Friendly,False
2020-07-01,South Korea,Paraguay,3,1,FIFA World Cup qualification,False
2020-07-01,Netherlands,Austria,5,0,Friendly,False
2020-07-01,Panama,Qatar,1,1,Friendly,False
2020-07-01,Switzerland,Costa Rica,8,0,Friendly,False
2020-08-01,Egypt,Tunisia,0,2,Friendly,False
2020-08-01,France,USA,2,0,Friendly,False
2020-08-01,Austria,Croatia,0,3,FIFA World Cup qualification,False
2020-08-01,Argentina,Serbia,5,2,FIFA World Cup qualification,False
2020-08-01,USA,Honduras,8,0,FIFA World Cup qualification,False
2020-08-01,Chile,Poland,0,2,Friendly,False
2020-08-01,Colombia,Brazil,0,2,FIFA World Cup qualification,False
2020-08-01,Cameroon,Japan,1,0,FIFA World Cup qualification,False
2020-08-01,Japan,Wales,5,1,Friendly,False
2020-08-01,England,Iran,5,0,Friendly,False
2020-09-01,Tunisia,Iran,2,1,Friendly,True
2020-09-01,Costa Rica,Germany,0,4,Friendly,False
2020-09-01,Ecuador,Belgium,0,3,Friendly,False
2020-09-01,Ivory Coast,USA,0,2,Friendly,False
2020-09-01,Portugal,USA,4,2,FIFA World Cup qualification,False
2020-09-01,Morocco,Italy,2,1,Friendly,False
2020-09-01,Spain,Ukraine,11,1,Friendly,False
2020-09-01,Portugal,Iran,4,0,FIFA World Cup qualification,False
2020-09-01,Egypt,Ukraine,5,1,FIFA World Cup qualification,False
2020-09-01,Mexico,Serbia,1,0,FIFA World Cup qualification,False
2020-10-01,Jamaica,Sweden,0,1,FIFA World Cup qualification,True
2020-10-01,USA,Spain,2,3,FIFA World Cup qualification,True
2020-10-01,Netherlands,Iran,9,0,FIFA World Cup qualification,False
2020-10-01,Algeria,Morocco,2,4,Friendly,False
2020-10-01,Saudi Arabia,Colombia,1,6,FIFA World Cup qualification,False
2020-10-01,Portugal,Tunisia,8,0,FIFA World Cup qualification,False
2020-10-01,Austria,Senegal,1,1,Friendly,False
2020-10-01,Brazil,Ghana,8,1,FIFA World Cup qualification,False
2020-10-01,Belgium,Chile,8,0,FIFA World Cup qualification,True
2020-10-01,Honduras,Ivory Coast,2,1,Friendly,False
2020-11-01,England,New Zealand,5,1,FIFA World Cup qualification,False
2020-11-01,Colombia,Italy,0,2,Friendly,True
2020-11-01,New Zealand,Peru,1,2,Friendly,False
2020-11-01,Jamaica,Canada,2,2,Friendly,False
2020-11-01,Portugal,Peru,2,0,Friendly,True
2020-11-01,Italy,USA,3,1,FIFA World Cup qualification,False
2020-11-01,Austria,Peru,2,1,FIFA World Cup qualification,False
2020-11-01,Morocco,Algeria,3,0,Friendly,False
2020-11-01,Algeria,Germany,0,9,Friendly,False
2020-11-01,Italy,Denmark,3,0,Friendly,False
2020-12-01,Netherlands,Argentina,2,1,FIFA World Cup qualification,True
2020-12-01,Denmark,Nigeria,4,0,Friendly,False
2020-12-01,New Zealand,Cameroon,0,2,Friendly,False
2020-12-01,Argentina,Germany,4,0,FIFA World Cup qualification,False
2020-12-01,Panama,Peru,0,7,FIFA World Cup qualification,False
2020-12-01,Belgium,Austria,5,1,FIFA World Cup qualification,False
2020-12-01,Jamaica,Ecuador,0,6,Friendly,False
2020-12-01,Algeria,Uruguay,0,5,Friendly,False
2020-12-01,Netherlands,Algeria,3,0,Friendly,False
2020-12-01,Brazil,USA,6,0,Friendly,False
2021-01-01,Ecuador,Ivory Coast,5,0,Friendly,False
2021-01-01,Belgium,Tunisia,6,1,Friendly,False
2021-01-01,Mexico,Jamaica,9,1,Friendly,False
2021-01-01,Canada,Italy,0,1,FIFA World Cup qualification,False
2021-01-01,USA,Qatar,5,0,Friendly,False
2021-01-01,Netherlands,Croatia,2,0,FIFA World Cup qualification,False
2021-01-01,Ghana,Ecuador,0,2,Friendly,False
2021-01-01,Nigeria,Cameroon,3,1,FIFA World Cup qualification,False
2021-01-01,USA,Uruguay,0,2,FIFA World Cup qualification,False
2021-01-01,Brazil,Belgium,3,0,Friendly,False
2021-02-01,Argentina,Brazil,0,3,FIFA World Cup qualification,False
2021-02-01,Serbia,England,1,3,FIFA World Cup qualification,False
2021-02-01,Netherlands,Ecuador,4,0,Friendly,False
2021-02-01,Sweden,Italy,1,7,Friendly,False
2021-02-01,South Korea,Saudi Arabia,3,0,FIFA World Cup qualification,False
2021-02-01,South Korea,Ghana,0,0,Friendly,True
2021-02-01,Japan,Paraguay,4,1,Friendly,False
2021-02-01,Belgium,Ukraine,7,0,FIFA World Cup qualification,False
2021-02-01,Portugal,Jamaica,6,0,FIFA World Cup qualification,False
2021-02-01,Portugal,Netherlands,3,1,Friendly,False
2021-03-01,Jamaica,Honduras,2,1,FIFA World Cup qualification,False
2021-03-01,Ecuador,South Korea,3,0,FIFA World Cup qualification,False
2021-03-01,Senegal,Morocco,1,2,Friendly,False
2021-03-01,Portugal,Argentina,1,1,FIFA World Cup qualification,False
2021-03-01,Australia,Sweden,2,1,Friendly,False
2021-03-01,Panama,Italy,0,9,FIFA World Cup qualification,False
2021-03-01,Netherlands,New Zealand,5,0,Friendly,True
2021-03-01,Portugal,Senegal,2,2,Friendly,True
2021-03-01,Panama,Canada,1,1,Friendly,False
2021-03-01,Switzerland,Brazil,0,2,Friendly,False
2021-04-01,Tunisia,Netherlands,0,7,Friendly,True
2021-04-01,Denmark,Australia,1,1,Friendly,False
2021-04-01,Ghana,Nigeria,0,2,FIFA World Cup qualification,False
2021-04-01,Argentina,Ukraine,3,0,FIFA World Cup qualification,False
2021-04-01,Germany,Peru,5,0,FIFA World Cup qualification,True
2021-04-01,Honduras,Egypt,2,2,Friendly,False
2021-04-01,Canada,Colombia,2,0,FIFA World Cup qualification,False
2021-04-01,New Zealand,Morocco,0,3,Friendly,True
2021-04-01,Uruguay,Peru,6,0,Friendly,False
2021-04-01,Qatar,Italy,0,5,FIFA World Cup qualification,False
2021-05-01,Nigeria,Italy,1,5,Friendly,False
2021-05-01,Honduras,Iran,0,2,Friendly,False
2021-05-01,Honduras,Saudi Arabia,0,1,FIFA World Cup qualification,False
2021-05-01,Morocco,USA,3,2,Friendly,False
2021-05-01,Ivory Coast,Portugal,2,2,FIFA World Cup qualification,False
2021-05-01,USA,Switzerland,2,0,FIFA World Cup qualification,False
2021-05-01,Chile,Switzerland,0,7,Friendly,False
2021-05-01,USA,Ecuador,2,0,Friendly,False
2021-05-01,Croatia,Cameroon,5,0,FIFA World Cup qualification,False
2021-05-01,Saudi Arabia,Egypt,3,1,Friendly,False
2021-06-01,Sweden,Italy,1,1,Friendly,False
2021-06-01,Costa Rica,Iran,1,1,Friendly,False
2021-06-01,Algeria,Costa Rica,2,2,Friendly,False
2021-06-01,Argentina,France,2,1,Friendly,False
2021-06-01,Argentina,Honduras,3,0,Friendly,False
2021-06-01,Poland,Japan,2,1,Friendly,False
2021-06-01,Morocco,Portugal,1,0,Friendly,False
2021-06-01,Canada,Denmark,0,1,Friendly,False
2021-06-01,Belgium,Saudi Arabia,8,0,FIFA World Cup qualification,False
2021-06-01,Chile,Sweden,0,0,FIFA World Cup qualification,False
2021-07-01,Netherlands,Switzerland,5,2,FIFA World Cup qualification,False
2021-07-01,Switzerland,Costa Rica,9,0,FIFA World Cup qualification,False
2021-07-01,Italy,Ghana,6,0,Friendly,False
2021-07-01,Morocco,New Zealand,9,0,Friendly,False
2021-07-01,Costa Rica,Saudi Arabia,1,2,Friendly,False
2021-07-01,Croatia,Egypt,4,0,FIFA World Cup qualification,False
2021-07-01,Australia,Spain,0,5,Friendly,False
2021-07-01,Morocco,Poland,2,0,FIFA World Cup qualification,False
2021-07-01,Denmark,Colombia,0,0,Friendly,False
2021-07-01,Algeria,Colombia,1,4,Friendly,False
2021-08-01,Switzerland,Poland,8,0,Friendly,False
2021-08-01,Poland,Paraguay,6,0,Friendly,True
2021-08-01,Colombia,Nigeria,2,0,FIFA World Cup qualification,False
2021-08-01,Senegal,Netherlands,0,3,FIFA World Cup qualification,False
2021-08-01,Cameroon,Costa Rica,0,1,Friendly,False
2021-08-01,Austria,Denmark,1,1,FIFA World Cup qualification,False
2021-08-01,Honduras,Ukraine,1,6,FIFA World Cup qualification,False
2021-08-01,Iran,Ivory Coast,4,0,FIFA World Cup qualification,False
2021-08-01,Mexico,Ecuador,2,2,Friendly,True
2021-08-01,New Zealand,Paraguay,0,1,FIFA World Cup qualification,False
2021-09-01,Spain,Ivory Coast,4,0,Friendly,False
2021-09-01,Egypt,Belgium,3,4,Friendly,False
2021-09-01,Denmark,Brazil,1,0,Friendly,False
2021-09-01,Ivory Coast,Ghana,1,0,FIFA World Cup qualification,False
2021-09-01,Senegal,Belgium,2,1,Friendly,False
2021-09-01,Austria,Canada,1,0,Friendly,False
2021-09-01,Morocco,Canada,5,1,FIFA World Cup qualification,False
2021-09-01,Sweden,South Korea,1,1,Friendly,False
2021-09-01,Peru,Ivory Coast,4,1,Friendly,False
2021-09-01,Ivory Coast,Colombia,0,0,FIFA World Cup qualification,False
2021-10-01,France,Qatar,6,0,Friendly,False
2021-10-01,Ukraine,New Zealand,8,0,Friendly,False
2021-10-01,Peru,Wales,5,1,FIFA World Cup qualification,False
2021-10-01,Belgium,Spain,0,0,Friendly,False
2021-10-01,Costa Rica,Ecuador,0,4,FIFA World Cup qualification,False
2021-10-01,Mexico,Jamaica,4,0,Friendly,False
2021-10-01,Chile,Nigeria,0,1,FIFA World Cup qualification,True
2021-10-01,Tunisia,Argentina,1,6,Friendly,False
2021-10-01,Egypt,Belgium,1,4,FIFA World Cup qualification,False
2021-10-01,Austria,Chile,4,0,Friendly,False
2021-11-01,France,Tunisia,4,1,FIFA World Cup qualification,False
2021-11-01,Sweden,Saudi Arabia,3,0,FIFA World Cup qualification,False
2021-11-01,Ecuador,England,2,3,FIFA World Cup qualification,False
2021-11-01,Ukraine,Uruguay,0,0,Friendly,False
2021-11-01,Ecuador,Qatar,3,1,FIFA World Cup qualification,False
2021-11-01,Paraguay,Algeria,3,1,Friendly,False
2021-11-01,Morocco,Egypt,9,1,FIFA World Cup qualification,False
2021-11-01,Iran,Croatia,1,2,Friendly,False
2021-11-01,Ivory Coast,Portugal,0,4,Friendly,False
2021-11-01,Iran,Austria,2,1,Friendly,True
2021-12-01,Brazil,Tunisia,4,0,FIFA World Cup qualification,False
2021-12-01,Egypt,Cameroon,2,1,Friendly,False
2021-12-01,Brazil,Saudi Arabia,6,0,Friendly,False
2021-12-01,Portugal,Uruguay,1,1,Friendly,False
2021-12-01,Germany,Wales,8,0,Friendly,False
2021-12-01,Germany,Switzerland,2,0,FIFA World Cup qualification,False
2021-12-01,England,Ukraine,5,0,Friendly,False
2021-12-01,Spain,Paraguay,5,1,Friendly,False
2021-12-01,Spain,Chile,3,0,Friendly,True
2021-12-01,Saudi Arabia,Germany,0,4,FIFA World Cup qualification,False
2022-01-01,Poland,Sweden,2,1,Friendly,False
2022-01-01,Panama,Australia,0,4,Friendly,False
2022-01-01,Iran,Canada,1,1,FIFA World Cup qualification,False
2022-01-01,Sweden,Qatar,1,1,Friendly,False
2022-01-01,South Korea,New Zealand,8,0,FIFA World Cup qualification,False
2022-01-01,Switzerland,Ivory Coast,5,1,Friendly,False
2022-01-01,Uruguay,Germany,1,1,Friendly,False
2022-01-01,South Korea,Switzerland,2,1,FIFA World Cup qualification,False
2022-01-01,Serbia,Austria,5,0,Friendly,False
2022-01-01,Saudi Arabia,England,0,6,Friendly,False
2022-02-01,Brazil,Egypt,2,0,FIFA World Cup qualification,False
2022-02-01,Honduras,Iran,0,2,Friendly,False
2022-02-01,Uruguay,Spain,2,1,FIFA World Cup qualification,False
2022-02-01,Sweden,Denmark,0,4,Friendly,False
2022-02-01,Wales,Netherlands,0,2,Friendly,False
2022-02-01,Jamaica,Qatar,1,1,FIFA World Cup qualification,False
2022-02-01,Ecuador,Cameroon,3,0,Friendly,False
2022-02-01,Paraguay,Canada,1,1,Friendly,False
2022-02-01,Portugal,Argentina,4,2,Friendly,False
2022-02-01,Nigeria,Brazil,0,2,Friendly,False
2022-03-01,Costa Rica,Cameroon,0,0,FIFA World Cup qualification,False
2022-03-01,Brazil,Peru,5,0,Friendly,False
2022-03-01,Spain,Saudi Arabia,5,0,Friendly,False
2022-03-01,Iran,Serbia,2,5,FIFA World Cup qualification,False
2022-03-01,Egypt,Switzerland,2,4,FIFA World Cup qualification,False
2022-03-01,Peru,USA,0,1,FIFA World Cup qualification,False
2022-03-01,Senegal,Algeria,6,0,Friendly,False
2022-03-01,Iran,Portugal,1,7,Friendly,False
2022-03-01,Cameroon,Italy,0,4,Friendly,False
2022-03-01,Netherlands,Argentina,0,3,Friendly,True
2022-04-01,Costa Rica,Egypt,2,1,FIFA World Cup qualification,False
2022-04-01,Chile,Colombia,0,10,FIFA World Cup qualification,False
2022-04-01,Canada,Spain,0,3,Friendly,False
2022-04-01,Colombia,Argentina,0,2,FIFA World Cup qualification,False
2022-04-01,Senegal,Honduras,6,0,Friendly,False
2022-04-01,Peru,Japan,1,0,FIFA World Cup qualification,False
2022-04-01,Cameroon,Senegal,0,3,Friendly,False
2022-04-01,Poland,Sweden,2,2,Friendly,True
2022-04-01,Peru,Netherlands,0,3,Friendly,False
2022-04-01,Ukraine,Senegal,3,2,Friendly,False
2022-05-01,Peru,Mexico,1,1,Friendly,False
2022-05-01,Costa Rica,Peru,0,2,Friendly,False
2022-05-01,Ukraine,Paraguay,5,1,FIFA World Cup qualification,False
2022-05-01,Iran,Australia,1,1,Friendly,False
2022-05-01,Ukraine,Senegal,0,2,Friendly,False
2022-05-01,Senegal,Uruguay,3,1,FIFA World Cup qualification,False
2022-05-01,Nigeria,Belgium,1,2,Friendly,False
2022-05-01,England,Ivory Coast,6,1,Friendly,False
2022-05-01,Uruguay,Egypt,10,0,Friendly,False
2022-05-01,Morocco,Peru,2,0,FIFA World Cup qualification,True
2022-06-01,Morocco,Sweden,7,0,FIFA World Cup qualification,False
2022-06-01,Panama,Qatar,2,2,FIFA World Cup qualification,False
2022-06-01,Brazil,Poland,9,0,Friendly,False
2022-06-01,Honduras,Wales,0,1,Friendly,False
2022-06-01,Brazil,Denmark,4,0,Friendly,False
2022-06-01,Peru,Wales,4,3,FIFA World Cup qualification,False
2022-06-01,Ecuador,USA,1,1,FIFA World Cup qualification,False
2022-06-01,Portugal,Ghana,7,2,FIFA World Cup qualification,False
2022-06-01,Nigeria,Portugal,0,3,Friendly,True
2022-06-01,Canada,Saudi Arabia,2,0,Friendly,False
2022-07-01,Canada,Belgium,2,6,FIFA World Cup qualification,False
2022-07-01,Tunisia,Belgium,0,5,Friendly,False
2022-07-01,Sweden,Japan,1,2,Friendly,False
2022-07-01,Argentina,Costa Rica,5,0,Friendly,True
2022-07-01,Algeria,Ecuador,0,1,Friendly,False
2022-07-01,Italy,Costa Rica,5,1,FIFA World Cup qualification,False
2022-07-01,Qatar,Italy,0,4,Friendly,False
2022-07-01,Jamaica,Peru,2,2,Friendly,True
2022-07-01,Ivory Coast,Belgium,1,4,FIFA World Cup qualification,False
2022-07-01,Denmark,Argentina,1,3,Friendly,False
2022-08-01,Saudi Arabia,Tunisia,0,0,FIFA World Cup qualification,False
2022-08-01,Qatar,Morocco,1,5,FIFA World Cup qualification,False
2022-08-01,Wales,Switzerland,0,1,FIFA World Cup qualification,False
2022-08-01,Ecuador,Wales,8,1,Friendly,False
2022-08-01,Colombia,Netherlands,1,1,Friendly,True
2022-08-01,USA,Argentina,1,4,FIFA World Cup qualification,False
2022-08-01,Nigeria,Italy,0,4,Friendly,False
2022-08-01,Ghana,Portugal,0,0,Friendly,False
2022-08-01,Qatar,Jamaica,4,0,Friendly,False
2022-08-01,Wales,Australia,1,2,Friendly,False
2022-09-01,Colombia,Germany,2,3,Friendly,False
2022-09-01,Ecuador,Poland,2,1,Friendly,False
2022-09-01,Netherlands,Honduras,4,1,FIFA World Cup qualification,False
2022-09-01,Ukraine,Mexico,1,2,FIFA World Cup qualification,True
2022-09-01,Ghana,Chile,3,0,FIFA World Cup qualification,False
2022-09-01,Morocco,Qatar,5,1,FIFA World Cup qualification,True
2022-09-01,Japan,Morocco,5,3,Friendly,False
2022-09-01,Portugal,USA,2,0,Friendly,False
2022-09-01,Egypt,Poland,1,4,Friendly,False
2022-09-01,Spain,England,1,0,Friendly,False
2022-10-01,Honduras,Nigeria,0,3,Friendly,False
2022-10-01,USA,Sweden,5,0,FIFA World Cup qualification,True
2022-10-01,Chile,Tunisia,1,3,FIFA World Cup qualification,True
